item,match,type
http://www.wikidata.org/entity/Q7211,http://w3id.org/nkos/nkostype#taxonomy,=
http://www.wikidata.org/entity/Q7211,http://purl.org/spar/fabio/Taxonomy,=
http://www.wikidata.org/entity/Q23622,http://w3id.org/nkos/nkostype#dictionary,=
http://www.wikidata.org/entity/Q36524,http://purl.org/spar/fabio/AuthorityFile,=
http://www.wikidata.org/entity/Q324254,http://w3id.org/nkos/nkostype#ontology,=
http://www.wikidata.org/entity/Q324254,http://purl.org/spar/fabio/Ontology,=
http://www.wikidata.org/entity/Q859161,http://w3id.org/nkos/nkostype#glossary,=
http://www.wikidata.org/entity/Q1006160,http://w3id.org/nkos/nkostype#gazetteer,=
http://www.wikidata.org/entity/Q1045785,http://w3id.org/nkos/nkostype#semantic_network,=
http://www.wikidata.org/entity/Q1391417,http://purl.org/spar/fabio/TermDictionary,=
http://www.wikidata.org/entity/Q1631107,http://edamontology.org/data_3505,=
http://www.wikidata.org/entity/Q1673963,http://w3id.org/nkos/nkostype#synonym_ring,=
http://www.wikidata.org/entity/Q2352616,http://purl.org/spar/fabio/Catalog,=
http://www.wikidata.org/entity/Q5962346,http://w3id.org/nkos/nkostype#classification_schema,=
http://www.wikidata.org/entity/Q6423319,http://purl.org/spar/fabio/ControlledVocabulary,=
http://www.wikidata.org/entity/Q6423319,http://www.w3.org/2004/02/skos/core#ConceptScheme,=
http://www.wikidata.org/entity/Q8380731,http://w3id.org/nkos/nkostype#terminology,=
http://www.wikidata.org/entity/Q17152639,http://w3id.org/nkos/nkostype#thesaurus,=
http://www.wikidata.org/entity/Q17152639,http://purl.org/spar/fabio/Thesaurus,=
http://www.wikidata.org/entity/Q3406872,http://purl.org/spar/fabio/ApplicationProfile,=
http://www.wikidata.org/entity/Q856638,http://purl.org/spar/fabio/LibraryCatalog,=
http://www.wikidata.org/entity/Q1789476,http://purl.org/spar/fabio/BibliographicDatabase,=
http://www.wikidata.org/entity/Q1391417,http://purl.org/spar/fabio/DisciplineDictionary,>
http://www.wikidata.org/entity/Q1924747,http://purl.org/spar/fabio/MinimalInformationStandard,>
